"name","address","city","opening_hours","certificate","phone","category","source_url"
"מיכליס","מרכז עינב, החרט 7, מודיעין מכבים רעות","מודיעין","א'-ה' 08:30-23:15
יום ו' 08:00-13:00","חתם סופר פתח תקווה","08-669-1000","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9E%D7%99%D7%9B%D7%9C%D7%99%D7%A1"
"היקב","גד מכנס 6, נתניה","נתניה","","חתם סופר פתח תקווה","09-8622220","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%94%D7%99%D7%A7%D7%91"
"רחוב ירושלמי","עין חמד","עין חמד","ימים א׳-ה׳: 08:00-15:00
ימי ו׳: 08:00-13:30","בית יוסף","055-6859778","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%97%D7%95%D7%91-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%9E%D7%99"
"אלפרדו","דרך שלמה שמלצר 94, פתח תקווה","פתח תקווה","א'-ה' 10:00-23:00 יום ו' 09:00-14:00, מוצ""ש 20:30-23:45","חתם סופר פתח תקווה","03-923-0643","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%9C%D7%A4%D7%A8%D7%93%D7%95"
"בוקריה","מתחם יכין, דרך יצחק רבין 17, פתח תקווה","פתח תקווה","א'-ה' 10:00-22:00 יום ו' 08:00-14:30 מוצ""ש 21:00-23:00","חתם סופר פתח תקווה","03-744-4760","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A7%D7%A8%D7%99%D7%94"
"ביגה","רחוב זאב ז'בוטינסקי 72, פתח תקווה [בתוך: עופר הקניון הגדול פתח תקווה]","פתח תקווה","א'-ה' 09:00-22:00 יום ו' 09:00-14:00","בית יוסף","03-633-1312","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%99%D7%92%D7%94"
"בליקר בייקרי","יכין סנטר, דרך יצחק רבין 17, פתח תקווה","פתח תקווה","א'-ה' 07:30- 23:00 יום ו' 07:30-14:30","בית יוסף","03-923-4000","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%9C%D7%99%D7%A7%D7%A8-%D7%91%D7%99%D7%99%D7%A7%D7%A8%D7%99"
"לנדוור","הקניון הגדול ז'בוטינסקי 72, פתח-תקווה","פתח תקווה","א'-ה' 09:00-22:30 יום ו' 09:00-15:00
מוצ""ש- שעה לאחר צאת השבת -23:30","בית יוסף","03-9222692","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%A0%D7%93%D7%95%D7%95%D7%A8-2"
"פיאדרה","תוצרת הארץ 2 פתח תקווה","פתח תקווה","א'- ד' 17:00-23:00 יום ה' 17:00-24:00 מוצ""ש כשעתיים לאחר צאת השבת – 24:30","מהדרין פתח תקווה","","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%99%D7%90%D7%93%D7%A8%D7%94"
"קפה בעלמא","יכין סנטר, דרך יצחק רבין 17, פתח תקווה","פתח תקווה","א'-ד' 09:00-22:30
יום ה' 09:00-23:00
יום ו' 08:30-12:30","מהדרין פתח תקווה","03-904-0727","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%91%D7%A2%D7%9C%D7%9E%D7%90"
"קפה גן סיפור","בזל 2 פארק יצחק אוחיון[פארק בלינסון]פתח תקווה","פתח תקווה","א'-ה' 16:00-24:00
מוצא""ש 19:00-24:00","רבנות מהדרין פתח תקווה","072-3360999","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%92%D7%9F-%D7%A1%D7%99%D7%A4%D7%95%D7%A8-1"
"קפה הולה","העלייה השנייה 1, פתח תקווה","פתח תקווה","א'-ה' 08:00-00:00 יום ו' 08:00-15:00","הרב מחפוד","03-909-7701","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%94%D7%95%D7%9C%D7%94"
"קפה קלמא","מנחם בגין 26, פתח תקווה","פתח תקווה","א'-ד' 09:00-22:00 יום ה' 09:00-22:30
יום ו' 08:00-13:00","רבנות מהדרין פתח תקווה","079-699-9929","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A7%D7%9C%D7%9E%D7%90"
"ארסטו","נמל קיסריה","קיסריה","ראשון עד חמישי: 9:00-23:00
שישי: 9:00 – 15:00
מוצ""ש: החל מחצי שעה אחרי יציאת שבת – 24:00","בית יוסף","077-2311920","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%A8%D7%A1%D7%98%D7%95"
"ביגה","קניון שער הצפון,דרך חיפה 30 קרית אתא","קרית אתא","ימים א'-ה' 8:30-22:00
יום ו' 8:30-15:00
יום שבת בחורף חצי שעה אחרי צאת שבת,בקיץ סגור","מהדרין קרית אתא","046884333","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%99%D7%92%D7%94-2"
"קפה גרג","העצמאות 57, קרית אתא,","קרית אתא","א'-ה' 08:00-24:00
יום ו' 08:00-14:00","מהדרין קרית אתא","04-8445522","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%92%D7%A8%D7%92-3"
"פרש דה מרקט","דרך הדרום 3 , קרית גת","קרית גת","ימים א-ה 9:00-22:30  \ יום ו 8:30-12:00  \ מוצ""ש - שעה מצאת שבת עד 23:00","חתם סופר פתח תקווה","08-8500085","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%A8%D7%A9-%D7%93%D7%94-%D7%9E%D7%A8%D7%A7%D7%98"
"בראנצ'וס","בן גוריון 8 קרית מלאכי","קרית מלאכי","א'-ה' - 10:00-23:00
מוצ""ש - כשעה אחרי צאת השבת עד 23:30","בית יוסף","053-9380643","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%A8%D7%90%D7%A0%D7%A6-%D7%95%D7%A1-2"
"וופל בר","העבודה 14, ראש העין","ראש העין","א'-ה' 10:00-00:00
ו' 09:00-13:30
צאת השבת/ החג כשעה לאחר צאת השבת/ החג עד 00:00","בית יוסף","03-6404544","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%95%D7%95%D7%A4%D7%9C-%D7%91%D7%A8"
"סורנטו","ברשבסקי 8, ראשון לציון","ראשון לציון","א'-ה' 12:00-23:00 ש' - שעה אחרי צאת השבת-23:30","חתם סופר פתח תקווה","03-6543207","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A1%D7%95%D7%A8%D7%A0%D7%98%D7%95"
"קפה קפה","סחרוב 21 ראשון לציון[קניון הזהב]","ראשון לציון","א'-ה': 09:00-22:00
שישי:  08:30-שעתיים לפני כניסת שבת","בית יוסף","03-6055328","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A7%D7%A4%D7%94-2"
"בראנצ'וס","יעקב 48 רחובות","רחובות","א'-ה' - 10:00-23:00
ו' - 9:00-14:00
מוצ""ש - כשעה אחרי צאת השבת עד 23:30","בית יוסף","053-9380643","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%A8%D7%90%D7%A0%D7%A6-%D7%95%D7%A1"
"לנדוור","פקריס 2, פארק המדע, רחובות","רחובות","","בית יוסף","08-9331807","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%A0%D7%93%D7%95%D7%95%D7%A8-1"
"מאמא גרג","ביל""ו 2, רחובות- קניון עופר רחובות","רחובות","","בית יוסף","08-866-1333","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9E%D7%90%D7%9E%D7%90-%D7%92%D7%A8%D7%92-1"
"בליקר בייקרי","ביאליק 76, קניון ביאליק, רמת גן","רמת גן","ראשון עד חמישי:  08:00-21:30
שישי: 08:00-15:00","בית יוסף","03-6577779","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%9C%D7%99%D7%A7%D7%A8-%D7%91%D7%99%D7%99%D7%A7%D7%A8%D7%99-1"
"מאמא גרג","אבא הלל, 301 רמת גן, קניון איילון","רמת גן","","בית יוסף","058-4943499","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9E%D7%90%D7%9E%D7%90-%D7%92%D7%A8%D7%92"
"קפה לוגאנו","החוגה 2 רמת גן","רמת גן","א'-ה' 08:00-20:00 יום ו' 08:00-14:00","רבנות מהדרין רמת גן","077-407-0604","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%9C%D7%95%D7%92%D7%90%D7%A0%D7%95"
"מילה האוס","הרצל 27 שדרות","שדרות","א'-ה' 09:00-22:00 יום ו' 09:00-13:30","רבנות מהדרין שדרות","054-6172132","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9E%D7%99%D7%9C%D7%94-%D7%94%D7%90%D7%95%D7%A1"
"פיאנו פיאנו","האנגר 13, תל אביב-יפו","תל אביב","א'-ה' 12:00-24:00 יום ו' 10:00-14:00, מוצ""ש שעה אחרי צאת שבת -24:00","הרב מחפוד","03-504-4455","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%99%D7%90%D7%A0%D7%95-%D7%A4%D7%99%D7%90%D7%A0%D7%95"
"קפה קפה","יורדי הסירה 1, תל אביב-יפו","תל אביב","","הרב מחפוד","03-5440054","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A7%D7%A4%D7%94"
"פאוזה","דרך הפרחים 109, אבן שמואל","אבן שמואל","יום ו' 08:00-13:00
שימו לב!!!!
העגלה פתוחה רק ביום שישי","בית יוסף","052-69999434","עגלת קפה","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%90%D7%95%D7%96%D7%94"
"יוענה","כפר נוער יוענה, דרך יוסף סיטון 1, באר יעקב","באר יעקב","א'-ג' 08:30-15:00 ד'-ה' 08:30-22:30 יום ו' 08:00-14:00","מהדרין באר יעקב","050-784-3843","עגלת קפה","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%99%D7%95%D7%A2%D7%A0%D7%94"
"משק לוי","התמר 118, בית גמליאל","בית גמליאל","יום ו' 08:30-13:30","הרבנות מהדרין חבל יבנה","052-847-7506","עגלת קפה","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9E%D7%A9%D7%A7-%D7%9C%D7%95%D7%99"
"לוצ'ה","הורביץ 22, גדרה","גדרה","א'-ה' 09:00-22:00 יום ו' 09:00-14:00","רבנות מהדרין גדרה","050-224-5088","עגלת קפה","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%95%D7%A6-%D7%94"
"קפה הפרדס","פרי מגדים 3, מעלה אדומים","מעלה אדומים","א'-ד' 10:00-22:00 יום ה' 10:00-24:00
יום ו' 08:00-15:00
מוצ""ש - 20:00-24:00","רבנות מהדרין מעלה אדומים","050-5970083","עגלת קפה","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%94%D7%A4%D7%A8%D7%93%D7%A1"
"קפה לאגו","פארק יצחק אוחיון, בזל 2, פתח תקווה","פתח תקווה","א'-ה' 08:30-22:00
יום ו' 08:00-15:30","מהדרין פתח תקווה","053-367-0863","עגלת קפה","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%9C%D7%90%D7%92%D7%95"
